"id","name","partner_id/id","partner_shipping_id/id","partner_invoice_id/id","date_order","order_line/product_id/id","order_line/name","order_line/product_uom_qty","order_line/product_uom/id","order_line/id","order_line/price_unit"
"__export__.sale_order_197_ceb5e290","SO197","__export__.res_partner_2252_b2a9a2f4","__export__.res_partner_2253_8851397a","__export__.res_partner_2252_b2a9a2f4","2018-05-26 21:57:58","__export__.product_product_357_d74e0a7e","[BE0002] Endo - Endowater - Cucumber CBD - 500ml","24.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_1719_d4955ea9","1.85"
"","","","","","","__export__.product_product_360_e2a5edf6","[BE0007] Endo - Endowater - Watermelon CBD - 500ml","0.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_1720_503336ee","1.85"
"","","","","","","__export__.product_product_593_5211302e","[BE0006] Endo - Endowater - Pure - 10mg CBD - 500ml","24.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_1721_eab1e452","1.85"
"","","","","","","__export__.product_product_358_a02b1d83","[BE0003] Endo - Endowater - Lemon Lime CBD - 500ml","24.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_1722_e0ff83df","1.85"
"","","","","","","__export__.product_product_359_356f838e","[BE0004] Endo - Endowater - Berry Acai CBD - 500ml","0.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_1723_48de828a","1.85"
