"id","name","partner_id/id","partner_shipping_id/id","partner_invoice_id/id","date_order","order_line/product_id/id","order_line/name","order_line/product_uom_qty","order_line/product_uom/id","order_line/id","order_line/price_unit"
"__export__.sale_order_301_1542cf78","SO301","import_companies_04_04_00064","import_companies_04_04_00064","import_companies_04_04_00064","2018-06-15 02:40:25","__export__.product_product_377_5d732548","[ED0053] K9Kraves Dog Treats Chicken & Blueberry 300mg CBD 5.3oz ","12.0","product.product_uom_unit","__export__.sale_order_line_2297_b6e676c0","15.0"
"","","","","","","__export__.product_product_357_d74e0a7e","[BE0002] Endo - Endowater - Cucumber CBD - 500ml","12.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_2298_67d3c863","1.85"
"","","","","","","__export__.product_product_360_e2a5edf6","[BE0007] Endo - Endowater - Watermelon CBD - 500ml","12.0","__export__.product_uom_42_118b3b1a","__export__.sale_order_line_2299_cc2c3f72","1.85"
"","","","","","","__export__.product_product_691_360c9d5a","[ED0097] Miss Mary Jane - Drink Mix - Lemonade - 25mg CBD","12.0","product.product_uom_unit","__export__.sale_order_line_2300_c8ee193e","3.0"
"","","","","","","__export__.product_product_690_0807248d","[ED0096] Miss Mary Jane - Drink Mix - Strawberry - 25mg CBD","12.0","product.product_uom_unit","__export__.sale_order_line_2301_7c012538","3.0"
"","","","","","","__export__.product_product_628_57c23dc3","[ED0065] Heavenly Sweet - Singles - Chocolate Brownie - 10mg THC","12.0","product.product_uom_unit","__export__.sale_order_line_2302_07fdfd82","2.5"
"","","","","","","__export__.product_product_631_f20d09c8","[ED0067] Heavenly Sweet - Treats - Fruity - 100mg THC","12.0","product.product_uom_unit","__export__.sale_order_line_2303_62529db2","8.5"
"","","","","","","__export__.product_product_637_a85c62a8","[ED0073] Heavenly Sweet - Munchies - Caramel Corn - 100mg THC","12.0","product.product_uom_unit","__export__.sale_order_line_2304_ad85cfb9","8.5"
"","","","","","","__export__.product_product_638_07857947","[ED0074] Heavenly Sweet - Munchies - Circus buddies - 100mg THC","12.0","product.product_uom_unit","__export__.sale_order_line_2305_5e587d61","8.5"
